seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	110880900	110880911	12	*	X00710	64783	110881945	110889303	7359	+	1033	upstream	1033	RBM15
chr1	110950041	110950061	21	*	X00711	101410535	110950431	110958896	8466	+	369	upstream	369	LAMTOR5-AS1
chr1	110950077	110950432	356	*	X00712	101410535	110950431	110958896	8466	+	0	overlapStart	0	LAMTOR5-AS1
chr1	110950077	110950432	356	*	X00712	10542	110943877	110950546	6670	-	0	inside	113	LAMTOR5
chr1	111506412	111506621	210	*	X00716	55791	111489812	111506566	16755	-	0	overlapStart	0	LRIF1
chr1	111506656	111506884	229	*	X00717	55791	111489812	111506566	16755	-	89	upstream	89	LRIF1
chr1	111682740	111682750	11	*	X00718	128338	111659954	111682838	22885	-	0	inside	87	DRAM2
chr1	111682772	111682900	129	*	X00719	128338	111659954	111682838	22885	-	0	overlapStart	0	DRAM2
chr1	111889284	111889337	54	*	X00720	128344	111889195	111895639	6445	+	0	inside	88	PIFO
chr1	112282008	112282025	18	*	X00722	100506343	112282463	112290420	7958	+	437	upstream	437	INKA2-AS1
chr1	112298389	112298656	268	*	X00723	11218	112298190	112310199	12010	+	0	inside	198	DDX20
chr1	112298389	112298656	268	*	X00723	55924	112264686	112298419	33734	-	0	overlapStart	0	INKA2
chr1	113498507	113499122	616	*	X00727	6566	113454470	113498975	44506	-	0	overlapStart	0	SLC16A1
chr1	114354694	114355054	361	*	X00731	54665	114304454	114355070	50617	-	0	inside	15	RSBN1
chr1	114355143	114355295	153	*	X00732	54665	114304454	114355070	50617	-	72	upstream	72	RSBN1
chr1	114447806	114448036	231	*	X00733	10717	114437371	114447741	10371	-	64	upstream	64	AP4B1
chr1	114447806	114448036	231	*	X00733	64858	114447915	114456708	8794	+	0	overlapStart	0	DCLRE1B
chr1	114472062	114472257	196	*	X00734	204851	114471996	114520491	48496	+	0	inside	65	HIPK1
chr1	115053696	115053751	56	*	X00736	51592	114935399	115053781	118383	-	0	inside	29	TRIM33
chr1	115053763	115053803	41	*	X00737	51592	114935399	115053781	118383	-	0	overlapStart	0	TRIM33
chr1	115053881	115054067	187	*	X00738	51592	114935399	115053781	118383	-	99	upstream	99	TRIM33
chr1	115259300	115259428	129	*	X00739	4893	115247085	115259515	12431	-	0	inside	86	NRAS
chr1	115259547	115259560	14	*	X00740	4893	115247085	115259515	12431	-	31	upstream	31	NRAS
chr1	115300517	115300651	135	*	X00742	7812	115259534	115300671	41138	-	0	inside	19	CSDE1
chr1	115300694	115300713	20	*	X00743	7812	115259534	115300671	41138	-	22	upstream	22	CSDE1
chr1	115323162	115323173	12	*	X00744	80143	115312105	115323308	11204	-	0	inside	134	SIKE1
chr1	116961085	116961374	290	*	X00746	84852	116935487	116961244	25758	-	0	overlapStart	0	ATP1A1-AS1
chr1	117452549	117452565	17	*	X00747	5738	117452689	117532972	80284	+	123	upstream	123	PTGFRN
chr1	120190666	120190877	212	*	X00748	90874	120162000	120190390	28391	-	275	upstream	275	ZNF697
chr1	120611738	120612273	536	*	X00752	4853	120454176	120612317	158142	-	0	inside	43	NOTCH2
chr1	145096166	145096582	417	*	X00764	9554	145096407	145116997	20591	+	0	overlapStart	0	SEC22B
chr1	145208719	145209701	983	*	X00765	100132406	145209111	146467744	1258634	+	0	overlapStart	0	NBPF10
chr1	145208719	145209701	983	*	X00765	388677	145209111	145295525	86415	+	0	overlapStart	0	NOTCH2NLA
chr1	145610813	145611248	436	*	X00775	10623	145592605	145610884	18280	-	0	overlapStart	0	POLR3C
chr1	145610813	145611248	436	*	X00775	27246	145611036	145688776	77741	+	0	overlapStart	0	RNF115
chr1	146643978	146644419	442	*	X00780	5565	146626685	146644129	17445	-	0	overlapStart	0	PRKAB2
chr1	147012843	147013074	232	*	X00782	607	147013182	147098015	84834	+	107	upstream	107	BCL9
chr1	147400605	147400680	76	*	X00783	51463	147400506	147465755	65250	+	0	inside	98	GPR89B
chr1	147624552	147624576	25	*	X00786	728912	146032542	147624601	1592060	-	0	inside	24	NA
chr1	147806587	147806957	371	*	X00790	100847044	147806603	147806678	76	-	0	includeFeature	0	MIR5087
chr1	148556133	148556237	105	*	X00798	284565	148558188	148596267	38080	+	1950	upstream	1950	NBPF15
chr1	149783625	149783904	280	*	X00814	440689	149754245	149783928	29684	-	0	inside	23	HIST2H2BF
chr1	149784806	149785273	468	*	X00815	440689	149754245	149783928	29684	-	877	upstream	877	HIST2H2BF
chr1	149784806	149785273	468	*	X00815	653604	149784780	149785236	457	-	0	overlapStart	0	HIST2H3D
chr1	149858542	149858620	79	*	X00816	8338	149858525	149858961	437	+	0	inside	16	HIST2H2AC
chr1	149858542	149858620	79	*	X00816	8349	149856010	149858232	2223	-	309	upstream	309	HIST2H2BE
chr1	149870968	149870980	13	*	X00817	51027	149871155	149872348	1194	+	174	upstream	174	BOLA1
chr1	149871007	149871083	77	*	X00818	51027	149871155	149872348	1194	+	71	upstream	71	BOLA1
chr1	149871095	149871202	108	*	X00819	51027	149871155	149872348	1194	+	0	overlapStart	0	BOLA1
chr1	149982464	149982856	393	*	X00820	56957	149912232	149982686	70455	-	0	overlapStart	0	OTUD7B
chr1	150039435	150039979	545	*	X00821	11311	150039342	150117505	78164	+	0	inside	92	VPS45
chr1	150208261	150208474	214	*	X00822	81611	150190717	150208504	17788	-	0	inside	29	ANP32E
chr1	150254890	150254968	79	*	X00823	148523	150254953	150259501	4549	+	0	overlapStart	0	CIART
chr1	150293842	150294131	290	*	X00824	9129	150293928	150325704	31777	+	0	overlapStart	0	PRPF3
chr1	150459630	150459662	33	*	X00826	80222	150459840	150480085	20246	+	177	upstream	177	TARS2
chr1	150459677	150459836	160	*	X00827	80222	150459840	150480085	20246	+	3	upstream	3	TARS2
chr1	150459861	150459897	37	*	X00828	80222	150459840	150480085	20246	+	0	inside	20	TARS2
chr1	150898762	150898901	140	*	X00829	9869	150898815	150937220	38406	+	0	overlapStart	0	SETDB1
chr1	151020032	151020043	12	*	X00830	54964	151020259	151023871	3613	+	215	upstream	215	C1orf56
chr1	151020055	151020327	273	*	X00831	54964	151020259	151023871	3613	+	0	overlapStart	0	C1orf56
chr1	151031916	151032000	85	*	X00832	10962	151032151	151040973	8823	+	150	upstream	150	MLLT11
chr1	151031916	151032000	85	*	X00832	56882	151023447	151032125	8679	-	0	inside	124	CDC42SE1
chr1	151032057	151032131	75	*	X00833	10962	151032151	151040973	8823	+	19	upstream	19	MLLT11
chr1	151032057	151032131	75	*	X00833	56882	151023447	151032125	8679	-	0	overlapStart	0	CDC42SE1
chr1	151042906	151043257	352	*	X00834	126626	151043080	151091007	47928	+	0	overlapStart	0	GABPB2
chr1	151138356	151138645	290	*	X00835	388695	151132224	151138424	6201	-	0	overlapStart	0	LYSMD1
chr1	151138356	151138645	290	*	X00835	79005	151138498	151142773	4276	+	0	overlapStart	0	SCNM1
chr1	151162492	151162869	378	*	X00836	6944	151148776	151162689	13914	-	0	overlapStart	0	VPS72
chr1	151171157	151171167	11	*	X00837	8394	151171021	151222007	50987	+	0	inside	135	PIP5K1A
chr1	151171186	151171218	33	*	X00838	8394	151171021	151222007	50987	+	0	inside	164	PIP5K1A
chr1	151372141	151372169	29	*	X00839	5692	151372041	151374412	2372	+	0	inside	99	PSMB4
chr1	151512812	151512938	127	*	X00841	7286	151512781	151556059	43279	+	0	inside	30	TUFT1
chr1	151735821	151736156	336	*	X00842	65005	151732123	151736040	3918	-	0	overlapStart	0	MRPL9
chr1	151881792	151882376	585	*	X00844	117145	151843343	151882361	39019	-	0	overlapStart	0	THEM4
chr1	152009389	152009492	104	*	X00845	6282	152004982	152009511	4530	-	0	inside	18	S100A11
chr1	153508688	153508803	116	*	X00846	6277	153507076	153508717	1642	-	0	overlapStart	0	S100A6
chr1	153508870	153508880	11	*	X00847	6277	153507076	153508717	1642	-	152	upstream	152	S100A6
chr1	153517953	153517988	36	*	X00848	6275	153516095	153518282	2188	-	0	inside	293	S100A4
chr1	153518157	153518232	76	*	X00849	6275	153516095	153518282	2188	-	0	inside	49	S100A4
chr1	153606499	153606675	177	*	X00852	26097	153606458	153618782	12325	+	0	inside	40	CHTOP
chr1	153606499	153606675	177	*	X00852	6284	153591276	153606568	15293	-	0	overlapStart	0	S100A13
chr1	153643609	153643630	22	*	X00853	3608	153634264	153643504	9241	-	104	upstream	104	ILF2
chr1	153643758	153643999	242	*	X00854	3608	153634264	153643504	9241	-	253	upstream	253	ILF2
chr1	153919174	153919200	27	*	X00857	9909	153901977	153919154	17178	-	19	upstream	19	DENND4B
chr1	153939787	153939801	15	*	X00858	148327	153940315	153946840	6526	+	513	upstream	513	CREB3L4
chr1	153958763	153958783	21	*	X00859	5872	153954093	153958853	4761	-	0	inside	69	RAB13
chr1	153963162	153963412	251	*	X00860	6232	153963239	153964631	1393	+	0	overlapStart	0	RPS27
chr1	154192995	154193174	180	*	X00861	25912	154179183	154193273	14091	-	0	inside	98	C1orf43
chr1	154193255	154193279	25	*	X00862	25912	154179183	154193273	14091	-	0	overlapStart	0	C1orf43
chr1	154193291	154193305	15	*	X00863	25912	154179183	154193273	14091	-	17	upstream	17	C1orf43
chr1	154193334	154193353	20	*	X00864	25912	154179183	154193273	14091	-	60	upstream	60	C1orf43
chr1	154193430	154193446	17	*	X00865	25912	154179183	154193273	14091	-	156	upstream	156	C1orf43
chr1	154531072	154531189	118	*	X00866	55585	154521051	154531120	10070	-	0	overlapStart	0	UBE2Q1
chr1	154531202	154531622	421	*	X00867	55585	154521051	154531120	10070	-	81	upstream	81	UBE2Q1
chr1	154540294	154540610	317	*	X00868	1141	154540257	154552353	12097	+	0	inside	36	CHRNB2
chr1	154600206	154600219	14	*	X00870	103	154554534	154600456	45923	-	0	inside	236	ADAR
chr1	154909090	154909340	251	*	X00871	10654	154897208	154909484	12277	-	0	inside	143	PMVK
chr1	154909616	154909626	11	*	X00872	10654	154897208	154909484	12277	-	131	upstream	131	PMVK
chr1	154934148	154934158	11	*	X00873	90780	154929502	154934258	4757	-	0	inside	99	PYGO2
chr1	154934173	154934477	305	*	X00874	90780	154929502	154934258	4757	-	0	overlapStart	0	PYGO2
chr1	154947529	154947542	14	*	X00875	100423020	154948169	154948259	91	+	626	upstream	626	MIR4258
chr1	154947529	154947542	14	*	X00875	6464	154934774	154946959	12186	-	569	upstream	569	SHC1
chr1	154973332	154973358	27	*	X00876	51043	154975106	154991001	15896	+	1747	upstream	1747	ZBTB7B
chr1	154973656	154973694	39	*	X00877	51043	154975106	154991001	15896	+	1411	upstream	1411	ZBTB7B
chr1	155098913	155099135	223	*	X00881	1942	155100349	155107386	7038	+	1213	upstream	1213	EFNA1
chr1	155099251	155099265	15	*	X00882	1942	155100349	155107386	7038	+	1083	upstream	1083	EFNA1
chr1	155099335	155099402	68	*	X00883	1942	155100349	155107386	7038	+	946	upstream	946	EFNA1
chr1	155108439	155108473	35	*	X00884	55974	155108288	155111334	3047	+	0	inside	150	SLC50A1
chr1	155112943	155113145	203	*	X00885	54344	155112367	155112996	630	-	0	overlapStart	0	DPM3
chr1	155113179	155113197	19	*	X00886	54344	155112367	155112996	630	-	182	upstream	182	DPM3
chr1	155145714	155145867	154	*	X00887	200185	155141884	155145804	3921	-	0	overlapStart	0	KRTCAP2
chr1	155145714	155145867	154	*	X00887	80128	155145421	155157447	12027	+	0	inside	292	TRIM46
chr1	155164515	155164543	29	*	X00888	4582	155158300	155162706	4407	-	1808	upstream	1808	MUC1
chr1	155164515	155164543	29	*	X00888	693235	155164968	155165063	96	+	424	upstream	424	MIR92B
chr1	155214376	155214807	432	*	X00891	2629	155204239	155214653	10415	-	0	overlapStart	0	GBA
chr1	155225188	155225317	130	*	X00892	10712	155216996	155225274	8279	-	0	overlapStart	0	FAM189B
chr1	155231935	155232103	169	*	X00893	10067	155225770	155232176	6407	-	0	inside	72	SCAMP3
chr1	155532346	155532614	269	*	X00895	55870	155305052	155532585	227534	-	0	overlapStart	0	ASH1L
chr1	155532721	155533173	453	*	X00896	55870	155305052	155532585	227534	-	135	upstream	135	ASH1L
chr1	155658189	155658204	16	*	X00897	7818	155658882	155708800	49919	+	677	upstream	677	DAP3
chr1	155658320	155658926	607	*	X00898	7818	155658882	155708800	49919	+	0	overlapStart	0	DAP3
chr1	155658938	155658968	31	*	X00899	7818	155658882	155708800	49919	+	0	inside	55	DAP3
chr1	155715561	155715585	25	*	X00900	100129405	155715559	155720673	5115	+	0	inside	1	MSTO2P
chr1	155829658	155829847	190	*	X00902	54856	155719510	155829191	109682	-	466	upstream	466	GON4L
chr1	155881222	155881245	24	*	X00903	6016	155867599	155881193	13595	-	28	upstream	28	RIT1
chr1	155904039	155904146	108	*	X00904	22889	155882836	155904188	21353	-	0	inside	41	KHDC4
chr1	156024491	156024640	150	*	X00906	28956	156024517	156028605	4089	+	0	overlapStart	0	LAMTOR2
chr1	156024491	156024640	150	*	X00906	56893	156005092	156023516	18425	-	974	upstream	974	UBQLN4
chr1	156252376	156252399	24	*	X00910	23381	156219015	156252620	33606	-	0	inside	220	SMG5
chr1	156252376	156252399	24	*	X00910	84283	156252704	156262234	9531	+	304	upstream	304	TMEM79
chr1	156252421	156252509	89	*	X00911	23381	156219015	156252620	33606	-	0	inside	110	SMG5
chr1	156252421	156252509	89	*	X00911	84283	156252704	156262234	9531	+	194	upstream	194	TMEM79
chr1	156252533	156252794	262	*	X00912	23381	156219015	156252620	33606	-	0	overlapStart	0	SMG5
chr1	156252533	156252794	262	*	X00912	84283	156252704	156262234	9531	+	0	overlapStart	0	TMEM79
chr1	156252811	156252821	11	*	X00913	23381	156219015	156252620	33606	-	190	upstream	190	SMG5
chr1	156252811	156252821	11	*	X00913	84283	156252704	156262234	9531	+	0	inside	106	TMEM79
chr1	156307018	156307063	46	*	X00914	128229	156307105	156316785	9681	+	41	upstream	41	TSACC
chr1	156470348	156470364	17	*	X00915	4209	156433513	156470634	37122	-	0	inside	269	MEF2D
chr1	156542324	156542421	98	*	X00916	128239	156495197	156542396	47200	-	0	overlapStart	0	IQGAP3
chr1	156561344	156561426	83	*	X00917	128240	156561558	156566601	5044	+	131	upstream	131	NAXE
chr1	156561480	156561556	77	*	X00918	128240	156561558	156566601	5044	+	1	upstream	1	NAXE
chr1	156561571	156561628	58	*	X00919	128240	156561558	156566601	5044	+	0	inside	12	NAXE
chr1	156561712	156561747	36	*	X00920	128240	156561558	156566601	5044	+	0	inside	153	NAXE
chr1	156698462	156698476	15	*	X00922	51093	156698263	156706752	8490	+	0	inside	198	RRNAD1
chr1	156698462	156698476	15	*	X00922	81875	156692413	156698211	5799	-	250	upstream	250	ISG20L2
chr1	156710891	156710955	65	*	X00923	79590	156707094	156710923	3830	-	0	overlapStart	0	MRPL24
chr1	156711001	156711167	167	*	X00924	79590	156707094	156710923	3830	-	77	upstream	77	MRPL24
chr1	156711263	156711298	36	*	X00925	79590	156707094	156710923	3830	-	339	upstream	339	MRPL24
chr1	156737037	156737215	179	*	X00926	3068	156711899	156736717	24819	-	319	upstream	319	HDGF
chr1	156737037	156737215	179	*	X00926	5546	156737274	156770609	33336	+	58	upstream	58	PRCC
chr1	156737228	156737239	12	*	X00927	3068	156711899	156736717	24819	-	510	upstream	510	HDGF
chr1	156737228	156737239	12	*	X00927	5546	156737274	156770609	33336	+	34	upstream	34	PRCC
chr1	156737273	156737652	380	*	X00928	3068	156711899	156736717	24819	-	555	upstream	555	HDGF
chr1	156737273	156737652	380	*	X00928	5546	156737274	156770609	33336	+	0	overlapStart	0	PRCC
chr1	156830408	156830532	125	*	X00929	3645	156810665	156828712	18048	-	1695	upstream	1695	INSRR
chr1	157015449	157015718	270	*	X00930	9826	156904632	157015162	110531	-	286	upstream	286	ARHGEF11
chr1	157015765	157015786	22	*	X00931	9826	156904632	157015162	110531	-	602	upstream	602	ARHGEF11
chr1	157108237	157108276	40	*	X00932	2117	157094459	157108383	13925	-	0	inside	106	ETV3
chr1	157108293	157108315	23	*	X00933	2117	157094459	157108383	13925	-	0	inside	67	ETV3
chr1	157108344	157108532	189	*	X00934	2117	157094459	157108383	13925	-	0	overlapStart	0	ETV3
chr1	157963153	157963493	341	*	X00935	55243	157963063	158065844	102782	+	0	inside	89	KIRREL1
chr1	160039779	160039799	21	*	X00941	3766	160007257	160040051	32795	-	0	inside	251	KCNJ10
chr1	160254850	160254962	113	*	X00946	50717	160185505	160254941	69437	-	0	overlapStart	0	DCAF8
chr1	160254850	160254962	113	*	X00946	5824	160246599	160254941	8343	-	0	overlapStart	0	PEX19
chr1	160312946	160313327	382	*	X00947	1314	160258377	160313354	54978	-	0	inside	26	COPA
chr1	160312946	160313327	382	*	X00947	23385	160313063	160328742	15680	+	0	overlapStart	0	NCSTN
chr1	161015549	161016026	478	*	X00948	7391	161009041	161015769	6729	-	0	overlapStart	0	USF1
chr1	161016088	161016167	80	*	X00949	7391	161009041	161015769	6729	-	318	upstream	318	USF1
chr1	161016225	161016251	27	*	X00950	7391	161009041	161015769	6729	-	455	upstream	455	USF1
chr1	161067593	161067596	4	*	X00951	126823	161068151	161070138	1988	+	554	upstream	554	KLHDC9
chr1	161067611	161067638	28	*	X00952	126823	161068151	161070138	1988	+	512	upstream	512	KLHDC9
chr1	161087789	161087799	11	*	X00953	4817	161087862	161095235	7374	+	62	upstream	62	NIT1
chr1	161087789	161087799	11	*	X00953	5202	161070346	161087866	17521	-	0	inside	66	PFDN2
chr1	161102329	161102504	176	*	X00954	9191	161090769	161102478	11710	-	0	overlapStart	0	DEDD
chr1	161123655	161123671	17	*	X00955	51506	161123534	161128646	5113	+	0	inside	120	UFC1
chr1	161123696	161124144	449	*	X00956	51506	161123534	161128646	5113	+	0	inside	161	UFC1
chr1	161129158	161129479	322	*	X00957	27005	161129254	161135516	6263	+	0	overlapStart	0	USP21
chr1	161136227	161136362	136	*	X00958	5498	161136181	161147801	11621	+	0	inside	45	PPOX
chr1	161284248	161284259	12	*	X00960	6391	161284166	161334535	50370	+	0	inside	81	SDHC
chr1	161284274	161284295	22	*	X00961	6391	161284166	161334535	50370	+	0	inside	107	SDHC
chr1	161493534	161493886	353	*	X00969	3310	161494036	161496687	2652	+	149	upstream	149	HSPA6
chr1	161493984	161493996	13	*	X00970	3310	161494036	161496687	2652	+	39	upstream	39	HSPA6
chr1	161494010	161494117	108	*	X00971	3310	161494036	161496687	2652	+	0	overlapStart	0	HSPA6
chr1	161494135	161494696	562	*	X00972	3310	161494036	161496687	2652	+	0	inside	98	HSPA6
chr1	161719496	161719722	227	*	X00984	11266	161719581	161726952	7372	+	0	overlapStart	0	DUSP12
chr1	161735931	161736318	388	*	X00985	22926	161736034	161933860	197827	+	0	overlapStart	0	ATF6
chr1	161736331	161736345	15	*	X00986	22926	161736034	161933860	197827	+	0	inside	296	ATF6
chr1	161993563	161993703	141	*	X00988	25903	161952982	161993644	40663	-	0	overlapStart	0	OLFML2B
chr1	162531523	162531844	322	*	X00989	6675	162531296	162569633	38338	+	0	inside	226	UAP1
chr1	163291425	163291919	495	*	X00990	83540	163291723	163325553	33831	+	0	overlapStart	0	NUF2
chr1	163291425	163291919	495	*	X00990	8490	163112089	163291581	179493	-	0	overlapStart	0	RGS5
chr1	165600063	165600176	114	*	X00993	4259	165600110	165625372	25263	+	0	overlapStart	0	MGST3
chr1	165667624	165667815	192	*	X00995	223	165631449	165667900	36452	-	0	inside	84	ALDH9A1
chr1	165667624	165667815	192	*	X00995	440700	165667987	165679199	11213	+	171	upstream	171	LOC440700
chr1	166808401	166808415	15	*	X00996	57645	166808724	166823709	14986	+	308	upstream	308	POGK
chr1	166808460	166808781	322	*	X00997	57645	166808724	166823709	14986	+	0	overlapStart	0	POGK
chr1	166845456	166845516	61	*	X00999	117143	166825749	166845654	19906	-	0	inside	137	TADA1
chr1	166945129	166945153	25	*	X01000	387597	166882441	166944561	62121	-	567	upstream	567	ILDR2
chr1	167190126	167190142	17	*	X01001	5451	167190066	167396582	206517	+	0	inside	59	POU2F1
chr1	167522605	167522761	157	*	X01003	8804	167510251	167523056	12806	-	0	inside	294	CREG1
chr1	167522829	167523004	176	*	X01004	8804	167510251	167523056	12806	-	0	inside	51	CREG1
chr1	167905200	167905292	93	*	X01007	55827	167905797	168045083	139287	+	504	upstream	504	DCAF6
chr1	167905909	167906055	147	*	X01008	25874	167885913	167906307	20395	-	0	inside	251	MPC2
chr1	167905909	167906055	147	*	X01008	55827	167905797	168045083	139287	+	0	inside	111	DCAF6
chr1	168195322	168195349	28	*	X01009	375035	168195255	168212088	16834	+	0	inside	66	SFT2D2
chr1	168195322	168195349	28	*	X01009	9095	168195255	168283664	88410	+	0	inside	66	TBX19
chr1	169764052	169764252	201	*	X01014	92342	169761670	169764061	2392	-	0	overlapStart	0	METTL18
chr1	169862925	169863247	323	*	X01015	57147	169822215	169863100	40886	-	0	overlapStart	0	SCYL3
chr1	171454570	171454622	53	*	X01016	23215	171454666	171562650	107985	+	43	upstream	43	PRRC2C
chr1	171454643	171454803	161	*	X01017	23215	171454666	171562650	107985	+	0	overlapStart	0	PRRC2C
chr1	171711047	171711472	426	*	X01018	8674	171669296	171711379	42084	-	0	overlapStart	0	VAMP4
chr1	172413153	172413219	67	*	X01019	5279	172362274	172413230	50957	-	0	inside	10	PIGC
chr1	172502006	172502062	57	*	X01020	51430	172502260	172580973	78714	+	197	upstream	197	SUCO
chr1	172502244	172502255	12	*	X01021	51430	172502260	172580973	78714	+	4	upstream	4	SUCO
chr1	173446007	173446026	20	*	X01022	100506023	173204199	173446294	242096	-	0	inside	267	LOC100506023
chr1	173446007	173446026	20	*	X01022	9588	173446486	173457946	11461	+	459	upstream	459	PRDX6
chr1	173446074	173446289	216	*	X01023	100506023	173204199	173446294	242096	-	0	inside	4	LOC100506023
chr1	173446074	173446289	216	*	X01023	9588	173446486	173457946	11461	+	196	upstream	196	PRDX6
chr1	173446741	173446914	174	*	X01024	100506023	173204199	173446294	242096	-	446	upstream	446	LOC100506023
chr1	173446741	173446914	174	*	X01024	9588	173446486	173457946	11461	+	0	inside	254	PRDX6
chr1	173683843	173684371	529	*	X01025	27252	173684080	173755840	71761	+	0	overlapStart	0	KLHL20
chr1	173793363	173793384	22	*	X01026	55157	173793797	173827682	33886	+	412	upstream	412	DARS2
chr1	173793456	173793572	117	*	X01027	55157	173793797	173827682	33886	+	224	upstream	224	DARS2
chr1	173793456	173793572	117	*	X01027	91687	173768688	173793777	25090	-	0	inside	204	CENPL
chr1	173793593	173793612	20	*	X01028	55157	173793797	173827682	33886	+	184	upstream	184	DARS2
chr1	173793593	173793612	20	*	X01028	91687	173768688	173793777	25090	-	0	inside	164	CENPL
chr1	174128345	174128547	203	*	X01030	9910	174128552	174964445	835894	+	4	upstream	4	RABGAP1L
chr1	174128632	174128704	73	*	X01031	9910	174128552	174964445	835894	+	0	inside	79	RABGAP1L
chr1	174968627	174968828	202	*	X01032	27101	174968571	174981163	12593	+	0	inside	55	CACYBP
chr1	174968842	174968961	120	*	X01033	27101	174968571	174981163	12593	+	0	inside	270	CACYBP
chr1	174992421	174992767	347	*	X01037	63931	174982094	174992591	10498	-	0	overlapStart	0	MRPS14
chr1	176176294	176176608	315	*	X01038	64326	175913967	176176370	262404	-	0	overlapStart	0	COP1
chr1	177139819	177139871	53	*	X01039	57795	177140633	177251558	110926	+	761	upstream	761	BRINP2
chr1	177140482	177140553	72	*	X01040	57795	177140633	177251558	110926	+	79	upstream	79	BRINP2
chr1	178062681	178062963	283	*	X01043	100302401	178060643	178063128	2486	-	0	inside	164	RASAL2-AS1
chr1	178062681	178062963	283	*	X01043	9462	178062864	178448648	385785	+	0	overlapStart	0	RASAL2
chr1	178063581	178063591	11	*	X01044	100302401	178060643	178063128	2486	-	452	upstream	452	RASAL2-AS1
chr1	178063606	178063652	47	*	X01045	100302401	178060643	178063128	2486	-	477	upstream	477	RASAL2-AS1
chr1	178063788	178063801	14	*	X01046	100302401	178060643	178063128	2486	-	659	upstream	659	RASAL2-AS1
chr1	178694199	178694254	56	*	X01047	55103	178694300	178889237	194938	+	45	upstream	45	RALGPS2
chr1	178694329	178694471	143	*	X01048	55103	178694300	178889237	194938	+	0	inside	28	RALGPS2
chr1	179560617	179560662	46	*	X01051	163589	179560748	179660407	99660	+	85	upstream	85	TDRD5
chr1	179560722	179560733	12	*	X01052	163589	179560748	179660407	99660	+	14	upstream	14	TDRD5
chr1	179846897	179846909	13	*	X01056	163590	179809102	179846941	37840	-	0	inside	31	TOR1AIP2
chr1	179923839	179924176	338	*	X01059	9857	179923908	180084015	160108	+	0	overlapStart	0	CEP350
chr1	180123999	180124211	213	*	X01060	5768	180123968	180167169	43202	+	0	inside	30	QSOX1
chr1	180471413	180472233	821	*	X01065	84320	180257352	180472022	214671	-	0	overlapStart	0	ACBD6
chr1	180601186	180601345	160	*	X01066	9213	180601146	180859415	258270	+	0	inside	39	XPR1
chr1	180991740	180992478	739	*	X01067	10228	180942176	180992046	49871	-	0	overlapStart	0	STX6
chr1	181057700	181057756	57	*	X01068	51278	181057638	181059979	2342	+	0	inside	61	IER5
chr1	181057811	181058057	247	*	X01069	51278	181057638	181059979	2342	+	0	inside	172	IER5
chr1	182573487	182573558	72	*	X01072	6004	182567758	182573548	5791	-	0	overlapStart	0	RGS16
chr1	182758487	182758530	44	*	X01073	80896	182758584	182799519	40936	+	53	upstream	53	NPL
chr1	182758547	182759048	502	*	X01074	80896	182758584	182799519	40936	+	0	overlapStart	0	NPL
chr1	182808487	182808963	477	*	X01075	1660	182808439	182857117	48679	+	0	inside	47	DHX9
chr1	183440952	183441414	463	*	X01080	284649	183430011	183441117	11107	-	0	overlapStart	0	SMG7-AS1
chr1	183440952	183441414	463	*	X01080	9887	183441506	183523328	81823	+	91	upstream	91	SMG7
chr1	183441516	183441618	103	*	X01081	284649	183430011	183441117	11107	-	398	upstream	398	SMG7-AS1
chr1	183441516	183441618	103	*	X01081	9887	183441506	183523328	81823	+	0	inside	9	SMG7
chr1	183441706	183441781	76	*	X01082	284649	183430011	183441117	11107	-	588	upstream	588	SMG7-AS1
chr1	183441706	183441781	76	*	X01082	9887	183441506	183523328	81823	+	0	inside	199	SMG7
chr1	183441822	183441838	17	*	X01083	284649	183430011	183441117	11107	-	704	upstream	704	SMG7-AS1
chr1	183441929	183442092	164	*	X01084	284649	183430011	183441117	11107	-	811	upstream	811	SMG7-AS1
chr1	183604759	183604773	15	*	X01085	23179	183605208	183897666	292459	+	434	upstream	434	RGL1
chr1	183604831	183604863	33	*	X01086	10092	183595328	183605076	9749	-	0	inside	212	ARPC5
chr1	183604831	183604863	33	*	X01086	23179	183605208	183897666	292459	+	344	upstream	344	RGL1
chr1	184006719	184006832	114	*	X01088	23127	183898796	184006878	108083	-	0	inside	45	COLGALT2
chr1	184006854	184006872	19	*	X01089	23127	183898796	184006878	108083	-	0	inside	5	COLGALT2
chr1	184020654	184021224	571	*	X01090	116461	184020811	184043344	22534	+	0	overlapStart	0	TSEN15
chr1	184355754	184355765	12	*	X01091	81563	184356150	184598155	242006	+	384	upstream	384	C1orf21
chr1	184355781	184355886	106	*	X01092	81563	184356150	184598155	242006	+	263	upstream	263	C1orf21
chr1	184355903	184355962	60	*	X01093	81563	184356150	184598155	242006	+	187	upstream	187	C1orf21
chr1	185014383	185014439	57	*	X01094	6045	185014551	185071740	57190	+	111	upstream	111	RNF2
chr1	185014639	185014657	19	*	X01095	6045	185014551	185071740	57190	+	0	inside	87	RNF2
chr1	185014700	185014720	21	*	X01096	6045	185014551	185071740	57190	+	0	inside	148	RNF2
chr1	185126390	185126414	25	*	X01097	54823	185126192	185260913	134722	+	0	inside	197	SWT1
